analysis,correlation,p_value,method,significant,FDR
sum_overall_pearson,0.20218598641230975,0.1181370073644037,pearson,FALSE,0.17270257317355264
sum_overall_spearman,-0.3616759800568205,0.004183484793048388,spearman,TRUE,0.011642309512001039
sum_control_pearson,0.19559802155882083,0.1308651013339461,pearson,FALSE,0.17270257317355264
sum_SCZ_pearson,0.20854955896007116,0.10676249477252155,pearson,FALSE,0.17270257317355264
max_overall_pearson,0.1768664828372168,0.17270257317355264,pearson,FALSE,0.17270257317355264
max_overall_spearman,-0.36008208849513856,0.00436586606700039,spearman,TRUE,0.011642309512001039
mean_overall_pearson,0.17913039629448335,0.16718326314973192,pearson,FALSE,0.17270257317355264
mean_overall_spearman,-0.36008208849513856,0.00436586606700039,spearman,TRUE,0.011642309512001039
