"","cntrl_rna_10.bam","cntrl_rna_11.bam","cntrl_rna_12.bam","cntrl_rna_13.bam","cntrl_rna_14.bam","cntrl_rna_15.bam","cntrl_rna_16.bam","cntrl_rna_17.bam","cntrl_rna_18.bam","cntrl_rna_1.bam","cntrl_rna_2.bam","cntrl_rna_3.bam","cntrl_rna_4.bam","cntrl_rna_5.bam","cntrl_rna_6.bam","cntrl_rna_7.bam","cntrl_rna_8.bam","cntrl_rna_9.bam","scz_rna_10.bam","scz_rna_11.bam","scz_rna_12.bam","scz_rna_13.bam","scz_rna_14.bam","scz_rna_15.bam","scz_rna_16.bam","scz_rna_17.bam","scz_rna_18.bam","scz_rna_19.bam","scz_rna_1.bam","scz_rna_2.bam","scz_rna_3.bam","scz_rna_4.bam","scz_rna_5.bam","scz_rna_6.bam","scz_rna_7.bam","scz_rna_8.bam","scz_rna_9.bam"
"ENSG00000223972",3.95871332607787,2.23507970463375,5.18078160541804,4.12767019021858,1.81559546793111,1.77635567523746,3.61784030184635,5.18173223735597,7.21909093375622,-0.0766986543291974,3.80613287820089,2.67380067418579,-0.199611941406139,3.52019001061329,2.1709607745579,3.55007428107773,2.95412879779195,2.16105636538534,4.66219591801399,2.77659054837958,2.89379495520194,1.71383758263509,3.02020946210329,3.57852599419251,1.95526044021163,2.61463185174736,3.04128773821567,2.47576692767481,2.77958465950471,3.40134816794273,1.29360690793146,2.28319011475981,2.45470191065012,3.75462053259143,2.61571146595493,4.08259982792688,5.69907818501746
"ENSG00000227232",3.39098209251102,2.51106239761727,3.73595738021948,2.96981933735396,3.31635743619719,3.82195129479987,2.77068599587529,3.07265325254278,2.52738809935054,3.49474791078806,3.17191863256702,3.89867539706104,3.1062046433893,3.97224377814765,3.68773619143959,2.89794158761134,2.68174544631223,2.73332591268865,2.8480255608506,2.73186876767879,2.9252381878481,2.98303890226037,2.17291207121354,1.97877256235473,2.81173010725577,3.33078093542908,2.50271175717341,3.25016095146181,4.54437101400073,4.10222663985479,3.51820861685228,4.35664883685427,3.79360854518978,2.91663851115973,3.26207800641119,2.34681961243599,2.17063933138552
"ENSG00000278267",-0.667118152034743,-1.71964180980228,0.135151911418038,-0.491809627632617,0.0739192735483416,0.477691250284518,-0.625306523220306,-0.9954282246398,-1.80107485244162,-0.218897485226464,-0.52099529897552,0.104121758129746,-1.13544311258999,0.18475379215167,0.359912855623134,-0.448481598285701,-1.04292949537242,-0.446566721257046,-0.176557602479415,-0.690824239796349,-0.477966416390129,-1.0139881457828,-1.54477603824347,-0.794822291630814,-0.281753689126799,-0.155024140037602,-0.264829365449415,-0.392946438300433,1.06849224003999,-0.00184904196399509,0.34566481311949,0.707406975736966,-0.835915412813605,-0.473470419483759,-0.673470169292264,-0.273246791967981,-2.35235064651267
"ENSG00000238009",-1.19206708741355,-2.04935408284577,-0.148684783214711,-0.595825966525682,-0.773367263431158,-1.4789820435774,-1.68719652177861,-1.8828269507051,-2.11726585899666,-1.07843791220686,-0.925521470548364,-0.650155086249792,-0.907472797997133,0.412224628696848,-1.33969329123643,-0.879660860292398,-0.579388917314672,-1.16423856025141,-3.08891772329661,-0.596556085613953,-1.35673462060625,-1.31917608294579,-1.71211561955928,-1.6372095436349,-1.28172187272482,-0.45714941443636,-1.6093122276288,-0.508355848824568,-0.743089251447172,-0.249198548083255,-1.45543759810077,-0.241174178559797,-0.0337388974224938,-1.65095644486036,-0.456226227440076,-1.94611665032692,-1.21517326433888
"ENSG00000233750",0.270263059690871,-1.0299718256784,0.0466025058323963,-0.491809627632617,0.475320421331267,0.245810965158605,-0.0202902879553096,-0.789863864598275,-0.330506158845743,0.20901551719765,-0.149805873252798,0.21025811159912,-0.334858869995722,-0.201381598043091,0.00830359632393324,0.212607201297829,0.115081498706254,0.087406128632204,-0.498695680736164,-0.345887871524092,0.0642108252701864,-0.451652363505384,-1.25903832246841,-0.357782039743947,-1.08908474881714,-0.32861349044941,-0.0612507830297727,1.19147349249411,0.666588092744879,1.11313351713513,0.180720445433412,0.485156502504922,0.245147867104351,-0.2502163988834,-1.07656552283154,-0.87968908420118,-0.426791822649035
"ENSG00000268903",2.50794261589932,0.84188380485788,2.64688219899599,2.17635211133346,2.67290663632872,2.78062566483114,2.59748782534361,0.913950226323903,0.613025945667279,2.69957186721827,2.23828171636003,3.01379971385169,1.67016155838067,2.95167602271837,1.98115106703871,2.08243234039136,2.51769614908756,2.41553805112031,1.20247077274273,1.02980760065216,1.42391824324526,1.46522101968135,-0.0278610816669074,1.2702041526244,-0.0891125882839858,1.33752407022556,1.86763031772752,3.55690425953222,3.62360376094515,4.19933972862166,1.86079080334465,2.73229939116345,3.21878775270228,1.14201715560811,1.52037550599727,1.41860279522911,0.610602173190175
"ENSG00000269981",1.5532723255123,0.567769010571136,1.48442366297686,1.64847270514031,1.85756012302879,2.43022199246683,2.15706230999259,0.055568927325387,0.764597556278664,2.37593212458075,1.93819692949473,2.17669327271981,1.15150244177275,1.99992543165155,1.44717949244021,1.07407590515691,2.29251398826693,1.85186302742382,0.16465611975394,0.366022729209863,0.619928231107969,1.2813222949227,-0.267554523039685,0.848084548842466,-0.0447193125541258,0.625692832281875,1.25578483421383,3.00916469371764,2.59852343426306,3.66385644492111,1.58522616915432,1.79441883034405,2.6408963887308,0.265906357116187,0.847013711371934,0.920175459820053,0.610602173190175
"ENSG00000239906",-0.99508970285315,-2.04935408284577,-0.502389762780711,-0.595825966525682,-0.484151209695798,-0.822410850359523,-1.296791500674,-1.23522831398346,-2.52279195361551,-0.269592069345083,-1.35782667182039,0.104121758129746,-1.74009984192932,-0.327484475013081,-0.252867843514239,-0.544804939227397,-0.0129220565382699,-0.367972098491403,-1.08418327363262,-1.28509039694286,-1.00103998284242,-0.651103301231899,-1.25903832246841,-1.8863508341099,-2.76703416665735,-1.24135128154381,-0.501929892039669,0.606646653385506,0.461890134324659,0.209234548766651,-1.07559969041602,-0.398525796765725,-0.153989025291784,-1.47951606518095,-1.24055631789724,-1.59724939955822,-1.50461947938288
"ENSG00000241860",1.38663096170754,1.23307563200135,1.91790284738985,1.79961985057337,2.67877066367364,1.86090396993421,1.80531352873884,0.429231000105487,-0.0518631898353852,1.84344253479892,1.88594265473926,2.3020081765858,1.58529035071805,2.65647073617242,1.29229190010923,2.4995514074346,1.95888214186004,1.56184800103921,1.27463631022456,1.5460680627511,1.23609977811705,1.36302197840914,0.224728278010654,1.32994536269976,0.337145044607741,0.717883720420641,1.88415710692705,2.71967518111497,1.97341809740137,2.0406672110433,0.885449721865876,1.48465962302445,1.62583890854568,0.819596752669948,0.673544138595141,1.16819838680795,0.454491734245736
"ENSG00000279928",2.38953317318727,1.60075809476487,3.42951564772766,2.0091399877129,0.241766305295099,0.287139122855577,1.4705609235778,3.80153472096451,5.40279568139539,-0.908126227770063,1.41875078721027,0.596904572994659,-1.13544311258999,1.90963937142712,0.479622584121269,2.31975685346812,1.7578187269044,0.388422827956273,2.8480255608506,1.41641611986291,1.13214679131501,1.33629954270989,1.31170245347033,0.927580922060445,-0.334219930623164,0.0480574848263805,1.4679978607708,0.578640256913511,1.36578801872706,0.784549518841925,0.819642349747897,0.292653358701898,-0.379776992568386,1.71885759619135,2.05044168755773,2.30597944135795,4.09661958885321
